"id","product_id","spec_category","spec_name","spec_value","has_more_info","more_info_text"
"47","5","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"48","5","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"49","5","General","Size","Biggish","False","null"
"50","5","General","Gold","Made of solid gold.","False","null"
"51","5","General","Manufactured in USA","Ya darn tootin!","False","null"
"52","5","General","Multicolor Options","Yes","False","null"
"53","5","General","Quality","So high","False","null"
"54","5","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"55","5","Other","UPC","600662538765","False","null"
"56","6","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"57","6","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"58","6","Key Specs","Invisibility","Yes","False","null"
"59","6","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"60","6","Key Specs","Horsepower","180","False","null"
"61","6","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"62","6","General","Quality","So high","False","null"
"63","6","General","Multicolor Options","Yes","False","null"
"64","6","General","Manufactured in USA","Ya darn tootin!","False","null"
"65","6","General","Gold","Made of solid gold.","False","null"
"66","6","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"67","6","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"68","6","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"69","6","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"70","6","Other","UPC","600662538765","False","null"
"71","7","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"72","7","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"73","7","Key Specs","Invisibility","Yes","False","null"
"74","7","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"75","7","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"76","7","Key Specs","Horsepower","180","False","null"
"77","7","General","Gold","Made of solid gold.","False","null"
"78","7","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"79","7","General","Manufactured in USA","Ya darn tootin!","False","null"
"80","7","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"81","7","Other","UPC","600662538765","False","null"
"82","8","Key Specs","Invisibility","Yes","False","null"
"83","8","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"84","8","Key Specs","Horsepower","180","False","null"
"85","8","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"86","8","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"87","8","General","Size","Biggish","False","null"
"88","8","General","Quality","So high","False","null"
"89","8","General","Multicolor Options","Yes","False","null"
"90","8","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"91","8","Other","UPC","600662538765","False","null"
"92","9","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"93","9","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"94","9","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"95","9","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"96","9","General","Lifespan","~12 years","True","Estimated."
"97","9","General","Size","Biggish","False","null"
"98","9","General","Multicolor Options","Yes","False","null"
"99","9","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"100","9","General","Quality","So high","False","null"
"101","9","General","Manufactured in USA","Ya darn tootin!","False","null"
"102","9","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"103","9","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"104","9","Other","UPC","600662538765","False","null"
"105","10","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"106","10","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"107","10","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"108","10","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"109","10","Key Specs","Horsepower","180","False","null"
"110","10","General","Gold","Made of solid gold.","False","null"
"111","10","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"112","10","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"113","10","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"114","10","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"115","10","Other","UPC","600662538765","False","null"
"116","11","Key Specs","Horsepower","180","False","null"
"117","11","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"118","11","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"119","11","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"120","11","General","Multicolor Options","Yes","False","null"
"121","11","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"122","11","General","Manufactured in USA","Ya darn tootin!","False","null"
"123","11","General","Lifespan","~12 years","True","Estimated."
"124","11","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"125","11","Other","UPC","600662538765","False","null"
"126","12","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"127","12","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"128","12","Key Specs","Invisibility","Yes","False","null"
"129","12","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"130","12","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"131","12","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"132","12","General","Size","Biggish","False","null"
"133","12","General","Multicolor Options","Yes","False","null"
"134","12","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"135","12","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"136","12","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"137","12","Other","UPC","600662538765","False","null"
"138","13","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"139","13","Key Specs","Horsepower","180","False","null"
"140","13","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"141","13","General","Multicolor Options","Yes","False","null"
"142","13","General","Gold","Made of solid gold.","False","null"
"143","13","General","Quality","So high","False","null"
"144","13","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"145","13","Other","UPC","600662538765","False","null"
"146","14","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"147","14","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"148","14","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"149","14","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"150","14","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"151","14","General","Multicolor Options","Yes","False","null"
"152","14","General","Gold","Made of solid gold.","False","null"
"153","14","General","Manufactured in USA","Ya darn tootin!","False","null"
"154","14","General","Quality","So high","False","null"
"155","14","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"156","14","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"157","14","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"158","14","Other","UPC","600662538765","False","null"
"159","15","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"160","15","Key Specs","Horsepower","180","False","null"
"161","15","Key Specs","Invisibility","Yes","False","null"
"162","15","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"163","15","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"164","15","General","Size","Biggish","False","null"
"165","15","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"166","15","General","Gold","Made of solid gold.","False","null"
"167","15","General","Manufactured in USA","Ya darn tootin!","False","null"
"168","15","General","Multicolor Options","Yes","False","null"
"169","15","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"170","15","Other","UPC","600662538765","False","null"
"171","16","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"172","16","Key Specs","Horsepower","180","False","null"
"173","16","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"174","16","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"175","16","General","Gold","Made of solid gold.","False","null"
"176","16","General","Size","Biggish","False","null"
"177","16","General","Manufactured in USA","Ya darn tootin!","False","null"
"178","16","General","Multicolor Options","Yes","False","null"
"179","16","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"180","16","General","Lifespan","~12 years","True","Estimated."
"181","16","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"182","16","Other","UPC","600662538765","False","null"
"183","17","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"184","17","Key Specs","Horsepower","180","False","null"
"185","17","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"186","17","Key Specs","Invisibility","Yes","False","null"
"187","17","General","Size","Biggish","False","null"
"188","17","General","Lifespan","~12 years","True","Estimated."
"189","17","General","Multicolor Options","Yes","False","null"
"190","17","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"191","17","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"192","17","Other","UPC","600662538765","False","null"
"193","18","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"194","18","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"195","18","Key Specs","Invisibility","Yes","False","null"
"196","18","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"197","18","General","Multicolor Options","Yes","False","null"
"198","18","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"199","18","General","Size","Biggish","False","null"
"200","18","General","Gold","Made of solid gold.","False","null"
"201","18","General","Quality","So high","False","null"
"202","18","General","Manufactured in USA","Ya darn tootin!","False","null"
"203","18","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"204","18","Other","UPC","600662538765","False","null"
"205","19","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"206","19","Key Specs","Horsepower","180","False","null"
"207","19","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"208","19","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"209","19","General","Quality","So high","False","null"
"210","19","General","Manufactured in USA","Ya darn tootin!","False","null"
"211","19","General","Lifespan","~12 years","True","Estimated."
"212","19","General","Size","Biggish","False","null"
"213","19","General","Multicolor Options","Yes","False","null"
"214","19","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"215","19","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"216","19","Other","UPC","600662538765","False","null"
"217","20","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"218","20","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"219","20","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"220","20","Key Specs","Invisibility","Yes","False","null"
"221","20","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"222","20","Key Specs","Horsepower","180","False","null"
"223","20","General","Size","Biggish","False","null"
"224","20","General","Multicolor Options","Yes","False","null"
"225","20","General","Manufactured in USA","Ya darn tootin!","False","null"
"226","20","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"227","20","General","Quality","So high","False","null"
"228","20","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"229","20","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"230","20","Other","UPC","600662538765","False","null"
"231","21","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"232","21","Key Specs","Invisibility","Yes","False","null"
"233","21","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"234","21","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"235","21","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"236","21","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"237","21","General","Gold","Made of solid gold.","False","null"
"238","21","General","Multicolor Options","Yes","False","null"
"239","21","General","Lifespan","~12 years","True","Estimated."
"240","21","General","Manufactured in USA","Ya darn tootin!","False","null"
"241","21","General","Size","Biggish","False","null"
"242","21","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"243","21","Other","UPC","600662538765","False","null"
"244","22","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"245","22","Key Specs","Horsepower","180","False","null"
"246","22","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"247","22","Key Specs","Invisibility","Yes","False","null"
"248","22","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"249","22","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"250","22","General","Lifespan","~12 years","True","Estimated."
"251","22","General","Gold","Made of solid gold.","False","null"
"252","22","General","Manufactured in USA","Ya darn tootin!","False","null"
"253","22","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"254","22","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"255","22","Other","UPC","600662538765","False","null"
"256","23","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"257","23","Key Specs","Horsepower","180","False","null"
"258","23","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"259","23","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"260","23","General","Manufactured in USA","Ya darn tootin!","False","null"
"261","23","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"262","23","General","Size","Biggish","False","null"
"263","23","General","Multicolor Options","Yes","False","null"
"264","23","General","Lifespan","~12 years","True","Estimated."
"265","23","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"266","23","General","Gold","Made of solid gold.","False","null"
"267","23","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"268","23","Other","UPC","600662538765","False","null"
"269","24","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"270","24","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"271","24","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"272","24","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"273","24","Key Specs","Horsepower","180","False","null"
"274","24","Key Specs","Invisibility","Yes","False","null"
"275","24","General","Size","Biggish","False","null"
"276","24","General","Multicolor Options","Yes","False","null"
"277","24","General","Quality","So high","False","null"
"278","24","General","Lifespan","~12 years","True","Estimated."
"279","24","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"280","24","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"281","24","Other","UPC","600662538765","False","null"
"282","25","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"283","25","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"284","25","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"285","25","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"286","25","General","Gold","Made of solid gold.","False","null"
"287","25","General","Multicolor Options","Yes","False","null"
"288","25","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"289","25","Other","UPC","600662538765","False","null"
"290","26","Key Specs","Horsepower","180","False","null"
"291","26","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"292","26","Key Specs","Invisibility","Yes","False","null"
"293","26","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"294","26","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"295","26","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"296","26","General","Size","Biggish","False","null"
"297","26","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"298","26","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"299","26","Other","UPC","600662538765","False","null"
"300","27","Key Specs","Invisibility","Yes","False","null"
"301","27","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"302","27","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"303","27","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"304","27","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"305","27","General","Lifespan","~12 years","True","Estimated."
"306","27","General","Multicolor Options","Yes","False","null"
"307","27","General","Size","Biggish","False","null"
"308","27","General","Quality","So high","False","null"
"309","27","General","Manufactured in USA","Ya darn tootin!","False","null"
"310","27","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"311","27","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"312","27","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"313","27","Other","UPC","600662538765","False","null"
"314","28","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"315","28","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"316","28","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"317","28","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"318","28","General","Quality","So high","False","null"
"319","28","General","Gold","Made of solid gold.","False","null"
"320","28","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"321","28","Other","UPC","600662538765","False","null"
"322","29","Key Specs","Horsepower","180","False","null"
"323","29","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"324","29","Key Specs","Invisibility","Yes","False","null"
"325","29","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"326","29","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"327","29","General","Size","Biggish","False","null"
"328","29","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"329","29","General","Lifespan","~12 years","True","Estimated."
"330","29","General","Gold","Made of solid gold.","False","null"
"331","29","General","Quality","So high","False","null"
"332","29","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"333","29","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"334","29","Other","UPC","600662538765","False","null"
"335","30","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"336","30","Key Specs","Horsepower","180","False","null"
"337","30","Key Specs","Invisibility","Yes","False","null"
"338","30","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"339","30","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"340","30","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"341","30","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"342","30","General","Manufactured in USA","Ya darn tootin!","False","null"
"343","30","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"344","30","General","Gold","Made of solid gold.","False","null"
"345","30","General","Lifespan","~12 years","True","Estimated."
"346","30","General","Size","Biggish","False","null"
"347","30","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"348","30","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"349","30","Other","UPC","600662538765","False","null"
"350","31","Key Specs","Horsepower","180","False","null"
"351","31","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"352","31","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"353","31","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"354","31","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"355","31","General","Gold","Made of solid gold.","False","null"
"356","31","General","Lifespan","~12 years","True","Estimated."
"357","31","General","Manufactured in USA","Ya darn tootin!","False","null"
"358","31","General","Multicolor Options","Yes","False","null"
"359","31","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"360","31","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"361","31","Other","UPC","600662538765","False","null"
"362","32","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"363","32","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"364","32","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"365","32","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"366","32","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"367","32","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"368","32","General","Lifespan","~12 years","True","Estimated."
"369","32","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"370","32","General","Quality","So high","False","null"
"371","32","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"372","32","General","Manufactured in USA","Ya darn tootin!","False","null"
"373","32","General","Multicolor Options","Yes","False","null"
"374","32","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"375","32","Warranty","Manufacturer's Warranty - Yeehaw","Lifetime Limited","False","null"
"376","32","Other","UPC","600662538765","False","null"
"377","33","Key Specs","Tumbleweed Value","5000","True","How many tumbleweed do"
"378","33","Key Specs","Horsepower","180","False","null"
"379","33","Key Specs","Desertproofing","120-Degree DPX8 Certified Desertproof","False","null"
"380","33","Key Specs","Outlaw Enjoyment","NOT for outlaw use","True","Please do not use this product for outlaw OR vigilante purposes."
"381","33","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"382","33","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"383","33","General","Manufactured in USA","Ya darn tootin!","False","null"
"384","33","General","Multicolor Options","Yes","False","null"
"385","33","General","Quality","So high","False","null"
"386","33","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"387","33","Warranty","Manufacturer's Warranty - Rodeo","Lifetime Limited","False","null"
"388","33","Other","UPC","600662538765","False","null"
"389","34","Key Specs","Like-The-Wind Compatible","100% Bullseye-compliant functionality","False","null"
"390","34","Key Specs","Invisibility","Yes","False","null"
"391","34","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
"392","34","Key Specs","Aliens Included","Yes","True","Denotes inclusion of aliens obtained from the recent Area 51 invasion."
"393","34","General","Lifespan","~12 years","True","Estimated."
"394","34","General","Multicolor Options","Yes","False","null"
"395","34","General","Manufactured in USA","Ya darn tootin!","False","null"
"396","34","General","Suitable use","Rodeo, ranching, a fun Sunday with the family.","False","null"
"397","34","General","Size","Biggish","False","null"
"398","34","General","Gold","Made of solid gold.","False","null"
"399","34","General","Fun value","Off the charts!","True","A scientific measure of how much joy and happiness this product will bring to your Old Western life. :)"
"400","34","Warranty","Manufacturer's Warranty - Giddyup","Lifetime Limited","False","null"
"401","34","Other","UPC","600662538765","False","null"
"402","35","Key Specs","Horsepower","180","False","null"
"403","35","Key Specs","Cowboy Enjoyment","Off the charts!","False","null"
